2.1357e-037,8.4016e-016,0,0,2.7751e-130,0.97767,0,2.6139e-084,3.3728e-129,0.98183,0.00062529,0
8.8175e-302,2.4372e-297,0.020756,6.9351e-077,8.116e-222,0.0063956,4.3304e-055,0,0.42415,0.0065566,4.4744e-265,2.4606e-209
0,0.016048,0,0,3.9646e-068,0.0015573,0,0.093486,0,0,0.00031603,0.013227
7.3232e-034,0.057294,0.00041649,8.5308e-186,0.070758,4.5872e-267,0.00010211,0.065006,0,0,0,0.039289
0.25135,0.015408,0,0,3.083e-016,6.7856e-166,0,0.070715,0,4.7357e-205,4.1481e-250,0.010467
7.6152e-105,0,4.2305e-241,0.0086525,0.0075148,1.9824e-170,0.033617,0.0031006,0.084084,0,0.9083,0.01678
0.053162,0.020707,0.00085851,1.4875e-015,4.5144e-152,8.088e-168,0,0.059656,0,0,0,0.023163
0.097854,0.061016,0,2.6097e-203,1.7685e-083,9.4858e-005,0,0.029403,0,0,0,0.01482
0.051035,0,0,0,0,0.00036064,0.71434,0.048774,0,7.183e-319,1.3739e-222,0
1.5083e-315,0,5.5986e-044,0.03303,0,0.010922,0.0028125,1.064e-074,0.32038,0.0060777,7.2817e-252,0.0468
0,0,0.00045485,0,6.8525e-237,0,0,0.0086466,0,0,0,0
0.03367,0.00055409,0.00026943,0,0.037876,4.6488e-096,0.00041986,0.010555,0.0074895,1.0757e-225,8.476e-281,5.5403e-285
0.06778,0,1.3829e-225,0,7.2937e-033,7.3761e-220,0.083678,0.08164,0,0,0,0.17462
4.0771e-172,0,0,0,0.11854,9.1151e-127,0.006783,0.090473,0,0.00080839,6.3917e-185,3.3864e-190
0.00074381,0,0,2.2633e-146,0.13488,0,0.002887,0.058219,0,0,0,0.42815
0,0,0.97235,0.16892,0,4.5537e-171,2.9296e-161,0,0.12696,0,2.4457e-212,0
0.0030635,0.032321,6.5163e-094,1.1757e-091,0.047835,0.00097525,0.010909,0.040908,6.8297e-221,0,6.841e-120,0.012234
0,0,0.00087004,0,0,0,0,0.016838,0,0.00022902,0,0
5.4936e-147,0,0.0034009,7.2552e-043,0.40072,1.9967e-086,0.11191,0.036427,0,0,1.4822e-323,0.046869
0.13527,0.18073,0,0,0.097466,1.1631e-076,0,0.10131,0,0.0044955,6.1509e-064,0.064779
0.24761,0.54465,0.00062304,2.4119e-259,6.1068e-017,0.00033388,0.017743,0.00040633,0,0,0.028667,0.099938
0,0,0,0.66188,0,0.00053304,0.00090573,0,0.036938,0,3.6834e-253,1.1702e-031
3.1883e-215,0,0,0,0.057968,0.00011872,0,0.026703,0,1.6184e-115,0,0
3.3232e-193,0.071265,0,0.12752,0.015586,0,0.013897,0.11105,0,0,0,4.0735e-086
0.0015354,0,0,0,0.0038896,0,0,0,0,0,0,0.0060729
0.056927,2.0941e-164,0,2.6143e-106,1.1455e-039,0.00039359,0,0.046436,0,4.6503e-261,0.062087,0.0027873
0,6.953e-137,0,0,0.0069671,0.00064627,0,0.00024783,0,0,0,0
